1101,[1.147676 1.147677]
1229,[1.147932 1.147934]
1357,[1.148233 1.148235]
1485,[1.148534 1.148539]
1774,[1.148873 1.148874]
1902,[1.198735 1.198745]
2030,[1.389046 1.389055]
2158,[1.429603 1.429612]
2286,[1.440651 1.440654]
2414,[1.452724 1.452732]
2542,[1.45323  1.453239]
2670,[1.495898 1.495908]
2798,[1.565132 1.565136]
2926,[1.601615 1.601624]
3054,[1.660005 1.660013]
3182,[1.708607 1.708616]
3310,[1.733717 1.733727]
3438,[1.770105 1.770115]
3566,[1.807452 1.807463]
3694,[1.843834 1.843852]
3822,[1.880181 1.880191]
3950,[1.886836 1.886846]
4078,[1.909935 1.909946]
4206,[1.921536 1.921547]
4334,[1.950649 1.95066 ]
4462,[1.987042 1.987053]
4590,[2.012648 2.012659]
4718,[2.017169 2.01718 ]
4846,[2.017695 2.017711]
4974,[2.018183 2.018194]
5102,[2.018559 2.018563]
5230,[2.018909 2.018913]
5358,[2.019252 2.019255]
5486,[2.019587 2.01959 ]
5614,[2.019921 2.019924]
5742,[2.020251 2.020254]
5870,[2.020627 2.020634]
5998,[2.020942 2.020945]
6126,[2.021246 2.021248]
6254,[2.021582 2.021584]
6382,[2.021834 2.021837]
6510,[2.022107 2.02211 ]
6638,[2.022422 2.022425]
6766,[2.022578 2.022581]
6894,[2.022892 2.022895]
7022,[2.023208 2.023211]
7150,[2.023519 2.023521]
7278,[2.029151 2.029157]
7406,[2.032253 2.032257]
7534,[2.036018 2.036022]
7662,[2.037531 2.037538]
7790,[2.037896 2.037898]
7918,[2.038222 2.038224]
8046,[2.038629 2.038631]
8174,[2.040374 2.040376]
8302,[2.040722 2.040726]
8430,[2.040889 2.040892]
8558,[2.041213 2.041217]
8686,[2.041531 2.041535]
8814,[2.041839 2.041841]
8942,[2.042141 2.042144]
9198,[2.042719 2.04272 ]
9326,[2.043014 2.043015]
9454,[2.043311 2.043312]
9582,[2.043613 2.043615]
9710,[2.043857 2.043858]
9966,[2.044174 2.044175]
10094,[2.044335 2.044336]
10222,[2.044642 2.044643]
10350,[2.045131 2.045132]
10478,[2.045501 2.045502]
10606,[2.047581 2.047582]
10734,[2.047951 2.047952]
10862,[2.048254 2.048255]
10990,[2.048552 2.048554]
11118,[2.048879 2.04888 ]
11246,[2.049181 2.049182]
11374,[2.049422 2.049424]
11502,[2.049716 2.049717]
11630,[2.05001  2.050012]
11758,[2.050199 2.0502  ]
11886,[2.050498 2.050499]
12014,[2.050794 2.050795]
12142,[2.05109  2.051091]
12270,[2.051386 2.051387]
12398,[2.051681 2.051682]
12526,[2.051977 2.051978]
12654,[2.052273 2.052274]
12782,[2.052568 2.05257 ]
12910,[2.052878 2.052879]
17300,[2.053133 2.053134]
17428,[2.053412 2.053413]
17556,[2.053708 2.053709]
17684,[2.05385  2.053851]
18342,[2.054161 2.054162]
18470,[2.0544   2.054401]
18598,[2.054756 2.054757]
18726,[2.054904 2.054905]
18854,[2.05522  2.055221]
18982,[2.055517 2.055518]
19110,[0.538544 2.055835 2.055836]
19238,[0.538961 2.056127 2.056128]
19522,[0.539432 2.056516 2.056517]
19650,[0.64013  2.057717 2.057718]
19778,[0.640528 2.057982 2.057983]
19906,[0.641006 2.058295 2.058296]
20149,[15.820302 15.820304]
20150,[15.8209   15.820902]
20151,[15.82067  15.820671]
20152,[15.817666 15.817671]
20153,[15.819714 15.819715]
20154,[15.820783 15.820784]
20155,[15.821951 15.821952]
20156,[15.821446 15.821448]
20157,[15.822443 15.822445 15.822831]
20158,[15.822343 15.822344]
20159,[15.819329 15.819331]
20160,[15.818083 15.818086]
20162,[15.817234 15.817238]
20164,[15.822836 15.822837]
20165,[15.820141 15.820146]
20167,[15.821842 15.821844]
20170,[15.821288 15.82129 ]
20180,[15.81879  15.818792]
20181,[15.813621 15.813629]
20182,[15.819187 15.819191]
20184,[15.81852  15.818522]
20187,[15.818686 15.818687]
20193,[15.794909 15.79491 ]
20194,[15.816732 15.81674 ]
20333,[0.641545 2.058596 2.058597]
20461,[0.642024 2.058838 2.058839]
20589,[0.642546 2.059149 2.05915 ]
20717,[0.643069 2.05945  2.059452]
20845,[0.64362  2.059698 2.059699]
20973,[0.644132 2.059991 2.059992]
21101,[0.644554 2.060284 2.060285]
21229,[0.64481  2.060568 2.060569]
21357,[0.645062 2.060854 2.060855]
21485,[0.64528  2.061146 2.061147]
21613,[0.737836 2.061314]
21741,[0.738262 2.061316]
21869,[0.738728 2.061317]
21997,[0.739152 2.061319]
22125,[0.739572 2.061321]
22253,[0.73999  2.061322]
22381,[0.740481 2.061324]
22509,[0.740746 2.061326]
22637,[0.740989 2.061328]
22765,[0.741238 2.061329]
22893,[0.7415   2.061331]
23021,[0.741753 2.061333]
23149,[0.742002 2.061335]
23277,[0.742236 2.061337]
23405,[0.742484 2.061339 2.06134 ]
28786,[15.794493 15.794499]
28787,[15.818234 15.818236]
28788,[15.817034 15.817041]
28789,[15.79474  15.794742]
28790,[15.818376 15.818378]
28792,[2.061965 2.061966]
28793,[1.146161 1.146165]
28794,[0.838673 0.838677]
28795,[1.145629 1.145638]
28796,[1.146298 1.1463  ]
28797,[0.839274 0.839278]
28799,[1.145851 1.145857]
28800,[1.136172 1.136176]
28801,[1.146018 1.146022]
28802,[0.994543 0.99455  0.996989]
28803,[0.991807 0.991814]
28804,[1.146465 1.146466]
28805,[0.946472 0.946481]
28807,[1.009319 1.009327]
28808,[1.146598 1.1466  ]
28809,[1.053121 1.053128]
28811,[1.132853 1.132859]
28812,[0.997851 0.997856]
28813,[15.783078 15.783079]
28814,[0.996996 0.997   ]
28815,[1.113484 1.113493]
28816,[1.116373 1.116381 1.132818]
28817,[1.116387 1.146791]
28945,[1.146794 1.1468   1.147101]
29073,[1.147104 1.147107 1.147392]
29201,[1.147395 1.147397]
