,timestamp,swptrace,cmd,mode,swpentry,address
4016,0.313743,swptrace,memwalk,in,28756,00000000f3a56490
4018,0.313945,swptrace,memwalk,in,28759,00000000c895eb03
4020,0.314097,swptrace,memwalk,in,28767,00000000eff696b4
4022,0.314235,swptrace,memwalk,in,28765,00000000d4f118cc
4024,0.314404,swptrace,memwalk,in,28764,000000009f8c3e9c
4025,0.314586,swptrace,memwalk,map,28764,140619262922752
4027,0.314589,swptrace,memwalk,in,28776,000000009e1be354
4029,0.314721,swptrace,memwalk,in,28774,000000003f477576
4031,0.314905,swptrace,memwalk,in,28769,000000005df71a56
4033,0.315082,swptrace,memwalk,in,28771,00000000f0544a7e
4035,0.315197,swptrace,memwalk,in,28777,0000000048c8b83a
4037,0.31551,swptrace,memwalk,in,28778,000000007127c9f4
4039,0.31569,swptrace,memwalk,map,28778,94768065224704
4041,0.315702,swptrace,memwalk,in,28773,000000009c6f5dd6
4043,0.315902,swptrace,memwalk,in,28761,0000000026c929b4
4045,0.316081,swptrace,memwalk,in,28757,00000000608bbf6a
4047,0.316247,swptrace,memwalk,in,28760,000000003621a197
4049,0.316371,swptrace,memwalk,in,28762,000000002ebbc25b
4051,0.316485,swptrace,memwalk,in,28755,0000000099eba539
4053,0.31665,swptrace,memwalk,in,28758,00000000cb3176ae
4055,0.316781,swptrace,memwalk,in,28766,00000000e36216ac
4057,0.316891,swptrace,memwalk,in,28770,000000003b8a6ba0
4058,0.317023,swptrace,memwalk,map,28779,140618721935360
4063,0.317032,swptrace,memwalk,in,28907,000000003ed10edb
4064,0.317322,swptrace,memwalk,map,28907,140618722459648
4067,0.317326,swptrace,memwalk,in,29035,0000000061bd5ef9
4068,0.317613,swptrace,memwalk,map,29035,140618722983936
4070,0.317616,swptrace,memwalk,in,1096,0000000070350f62
4072,0.31788,swptrace,memwalk,in,1213,0000000065750c24
4074,0.318035,swptrace,memwalk,in,1341,00000000c0c54f65
4076,0.334674,swptrace,memwalk,in,1469,00000000e54c28ed
4078,0.338134,swptrace,memwalk,in,1597,00000000030ab14f
4080,0.341528,swptrace,memwalk,in,1725,00000000ac29b2d1
4082,0.345866,swptrace,memwalk,in,1853,00000000839c34c9
4084,0.349264,swptrace,memwalk,in,1981,000000009b9b7b1d
4086,0.352689,swptrace,memwalk,in,2109,00000000b54312e6
4088,0.356998,swptrace,memwalk,in,2237,00000000571449cc
4090,0.360392,swptrace,memwalk,in,2365,0000000037033e0d
4092,0.36379,swptrace,memwalk,in,2493,00000000c69fdd83
4094,0.367189,swptrace,memwalk,in,2621,00000000647204c7
4096,0.371524,swptrace,memwalk,in,2749,0000000093a4f739
4098,0.374918,swptrace,memwalk,in,2877,00000000defe2bfe
4100,0.378319,swptrace,memwalk,in,3005,0000000047491982
4102,0.382651,swptrace,memwalk,in,3133,00000000e9f5eb50
4104,0.386046,swptrace,memwalk,in,3261,0000000037cbedde
4106,0.389445,swptrace,memwalk,in,3389,0000000044b0b53a
4108,0.393782,swptrace,memwalk,in,3517,00000000741af13d
4110,0.397179,swptrace,memwalk,in,3645,00000000575aafb0
4112,0.400574,swptrace,memwalk,in,3773,00000000f5c7d65f
4114,0.404921,swptrace,memwalk,in,3901,00000000a85505dd
4116,0.408308,swptrace,memwalk,in,4029,00000000ee287df4
4118,0.411707,swptrace,memwalk,in,4157,000000005e532735
4120,0.415102,swptrace,memwalk,in,4285,00000000a1d3cfcf
4122,0.419437,swptrace,memwalk,in,4413,000000002e6a8df9
4124,0.422834,swptrace,memwalk,in,4541,000000002972775b
4126,0.426231,swptrace,memwalk,in,4669,000000006243bc66
4128,0.430569,swptrace,memwalk,in,4797,000000005b17c071
4130,0.433971,swptrace,memwalk,in,4925,000000002088a7e2
4132,0.437359,swptrace,memwalk,in,5053,00000000f14d4e0b
4134,0.441694,swptrace,memwalk,in,5181,0000000059c35464
4136,0.445052,swptrace,memwalk,in,5309,000000005a96625c
4138,0.448489,swptrace,memwalk,in,5437,000000002f913fd3
4140,0.452794,swptrace,memwalk,in,5565,00000000dae78bd8
4142,0.456222,swptrace,memwalk,in,5693,0000000068952238
4144,0.459621,swptrace,memwalk,in,5821,00000000a6aba26c
4146,0.463959,swptrace,memwalk,in,5949,0000000020574b31
4148,0.467357,swptrace,memwalk,in,6077,00000000c9284580
4150,0.47075,swptrace,memwalk,in,6205,00000000525ace8b
4152,0.474148,swptrace,memwalk,in,6333,00000000482b5f7f
4154,0.478485,swptrace,memwalk,in,6461,00000000c92003b7
4156,0.481916,swptrace,memwalk,in,6589,000000006c0e4de3
4158,0.485273,swptrace,memwalk,in,6717,0000000057dcdc1a
4160,0.489609,swptrace,memwalk,in,6845,00000000a035dc3a
4162,0.492967,swptrace,memwalk,in,6973,000000000dc5b491
4164,0.496403,swptrace,memwalk,in,7101,00000000eda1d6cc
4166,0.500753,swptrace,memwalk,in,7229,00000000a3b7e18b
4168,0.504139,swptrace,memwalk,in,7357,0000000068ddc50b
4170,0.507535,swptrace,memwalk,in,7485,000000008cda9def
4172,0.511873,swptrace,memwalk,in,7613,00000000e9dad50f
4174,0.515269,swptrace,memwalk,in,7741,00000000a0ca122f
4176,0.518663,swptrace,memwalk,in,7869,00000000286f3bfc
4178,0.522061,swptrace,memwalk,in,7997,00000000d4dcd029
4180,0.526399,swptrace,memwalk,in,8125,000000003bf1df0f
4182,0.529794,swptrace,memwalk,in,8253,00000000bee7e6b1
4184,0.53319,swptrace,memwalk,in,8381,000000000995c83f
4186,0.537524,swptrace,memwalk,in,8509,00000000c2ca418f
4188,0.540865,swptrace,memwalk,in,8637,00000000eceac280
4190,0.56631,swptrace,memwalk,in,8765,00000000da36e848
4192,0.570647,swptrace,memwalk,in,8893,0000000035b93d99
4194,0.574042,swptrace,memwalk,in,9021,0000000088a7fec5
4196,0.577438,swptrace,memwalk,in,9149,00000000d36cb4c8
4198,0.578018,swptrace,memwalk,in,9277,000000002bd4fc09
4200,0.578427,swptrace,memwalk,in,9405,000000003b959246
4202,0.578785,swptrace,memwalk,in,9533,00000000202d97c4
4204,0.579104,swptrace,memwalk,in,9661,00000000c7aa4c5d
