,timestamp,swptrace,cmd,mode,swpentry,address
3982,0.494864,swptrace,memwalk,in,17488,00000000eb9163d0
3986,0.495226,swptrace,memwalk,map,17488,140726727450624
3987,0.49524,swptrace,memwalk,map,17491,94209117589504
3992,0.495266,swptrace,memwalk,in,17499,000000004ee5dbf0
3993,0.495536,swptrace,memwalk,map,17499,140492669198336
3994,0.49555,swptrace,memwalk,map,17497,140492664758272
3995,0.495554,swptrace,memwalk,map,17496,140492664766464
3997,0.495563,swptrace,memwalk,in,17508,000000007cb3da59
4001,0.495841,swptrace,memwalk,map,17508,140492664770560
4003,0.49586,swptrace,memwalk,in,17506,00000000a9cf6382
4005,0.496155,swptrace,memwalk,map,17506,140492664782848
4007,0.496173,swptrace,memwalk,in,17501,00000000e6aafc1f
4009,0.496423,swptrace,memwalk,in,17503,00000000b5d6097e
4010,0.496587,swptrace,memwalk,map,17509,94209136947200
4011,0.496593,swptrace,memwalk,map,17510,94209136951296
4014,0.496623,swptrace,memwalk,in,17505,00000000ed6a21a1
4015,0.496765,swptrace,memwalk,map,17505,140492667006976
4017,0.496775,swptrace,memwalk,in,17494,00000000a774b8d9
4019,0.496974,swptrace,memwalk,map,17494,140492666990592
4020,0.496979,swptrace,memwalk,map,17489,140492669267968
4023,0.496986,swptrace,memwalk,in,17493,00000000b42d9917
4024,0.497172,swptrace,memwalk,map,17493,140492669210624
4025,0.497175,swptrace,memwalk,map,17495,140492666986496
4030,0.497186,swptrace,memwalk,in,17487,0000000001d6971f
4031,0.497376,swptrace,memwalk,map,17487,140492669272064
4032,0.497379,swptrace,memwalk,map,17490,140492669276160
4033,0.497407,swptrace,memwalk,map,17498,140492669214720
4036,0.497467,swptrace,memwalk,in,17502,0000000086077030
4037,0.497741,swptrace,memwalk,map,17502,140492664745984
4038,0.497799,swptrace,memwalk,map,17511,140492123779072
4043,0.49781,swptrace,memwalk,in,17639,0000000039e224e3
4044,0.498164,swptrace,memwalk,map,17639,140492124303360
4047,0.498186,swptrace,memwalk,in,17767,000000001b7a7923
4048,0.498506,swptrace,memwalk,map,17767,140492124827648
4050,0.498511,swptrace,memwalk,in,946,0000000051a44463
4052,0.498738,swptrace,memwalk,in,1074,00000000fb61920d
4054,0.499043,swptrace,memwalk,in,1202,000000009dddc3c5
4056,0.499331,swptrace,memwalk,in,1330,00000000e64dc2fb
4058,0.552119,swptrace,memwalk,in,1458,0000000056620028
4060,0.561744,swptrace,memwalk,in,1586,00000000a91807b4
4062,0.562229,swptrace,memwalk,in,1714,0000000084224981
4064,0.607232,swptrace,memwalk,in,1842,00000000b8c71826
4066,0.610583,swptrace,memwalk,in,1970,0000000007cbab24
4068,0.636023,swptrace,memwalk,in,2098,00000000c6200b6f
4070,0.716383,swptrace,memwalk,in,2226,00000000d66bd56d
4072,0.720716,swptrace,memwalk,in,2354,0000000092180598
4074,0.724114,swptrace,memwalk,in,2482,000000004a36fb2b
4076,0.727509,swptrace,memwalk,in,2610,000000005536b663
4078,0.731852,swptrace,memwalk,in,2738,000000007fb57df4
4080,0.735243,swptrace,memwalk,in,2866,00000000b0962271
4082,0.738621,swptrace,memwalk,in,2994,000000000d7076a0
4084,0.742944,swptrace,memwalk,in,3122,000000006f2e12be
4086,0.746367,swptrace,memwalk,in,3250,00000000984a5c3c
4088,0.749771,swptrace,memwalk,in,3378,000000000d44503b
4090,0.754108,swptrace,memwalk,in,3506,00000000f11ac561
4092,0.757501,swptrace,memwalk,in,3634,00000000d27915f8
4094,0.7609,swptrace,memwalk,in,3762,000000003687b26e
4096,0.765236,swptrace,memwalk,in,3890,00000000418b1b72
4098,0.768635,swptrace,memwalk,in,4018,00000000973ca083
4100,0.772034,swptrace,memwalk,in,4146,000000006fdd3a6d
