,timestamp,swptrace,cmd,mode,swpentry,address
4189,1.222599,swptrace,memwalk,in,8908,000000009415817e
4191,1.225998,swptrace,memwalk,in,9036,000000003aa28636
4193,1.229391,swptrace,memwalk,in,9164,00000000acf90c73
4195,1.23373,swptrace,memwalk,in,9292,00000000fc581f5c
4197,1.237123,swptrace,memwalk,in,9420,000000002e533b43
4199,1.240519,swptrace,memwalk,in,9548,000000003712862d
4201,1.244857,swptrace,memwalk,in,19597,000000002e70bd1f
4203,1.256731,swptrace,memwalk,in,19725,0000000048c52838
4205,1.257186,swptrace,memwalk,in,19853,0000000096fe2356
4207,1.257442,swptrace,memwalk,in,19981,000000003ec65984
4209,1.257781,swptrace,memwalk,in,20109,00000000e5498328
4211,1.258101,swptrace,memwalk,in,20237,00000000e2a58f68
4213,1.258465,swptrace,memwalk,in,20365,00000000a64a0327
4215,1.258786,swptrace,memwalk,in,20493,000000008a20ee68
4217,1.259057,swptrace,memwalk,in,20621,000000000a1b2aa2
4219,1.259386,swptrace,memwalk,in,20749,000000007c6435be
4221,1.259695,swptrace,memwalk,in,20877,00000000f6eb971e
4223,1.259999,swptrace,memwalk,in,21005,0000000039714f79
4225,1.260301,swptrace,memwalk,in,21995,00000000e34466be
4227,1.260491,swptrace,memwalk,in,22123,00000000079b43e2
4229,1.260795,swptrace,memwalk,in,22251,0000000015a3ef2b
4231,1.261094,swptrace,memwalk,in,22379,00000000da4d622b
4233,1.273613,swptrace,memwalk,in,22507,00000000193b1aec
4235,1.277008,swptrace,memwalk,in,22635,00000000cf931c79
4237,1.280407,swptrace,memwalk,in,22763,0000000049e60b6e
4239,1.284743,swptrace,memwalk,in,22891,000000007df8d761
4241,1.288148,swptrace,memwalk,in,23019,0000000034e60121
4243,1.29148,swptrace,memwalk,in,23147,0000000098744980
4245,1.295872,swptrace,memwalk,in,23275,00000000090fd004
4247,1.299274,swptrace,memwalk,in,23403,0000000022bafa96
4249,1.302664,swptrace,memwalk,in,23531,000000004051a3a7
4251,1.307003,swptrace,memwalk,in,23659,0000000080ec1f4e
4252,1.310386,swptrace,memwalk,map,23787,139710469140480
4253,1.310397,swptrace,memwalk,in,23787,000000005347561b
4254,1.313784,swptrace,memwalk,map,23915,139710469664768
4255,1.313796,swptrace,memwalk,in,23915,00000000de728155
4256,1.31718,swptrace,memwalk,map,24043,139710470189056
4257,1.317191,swptrace,memwalk,in,24043,00000000ad6ed9f3
4258,1.321519,swptrace,memwalk,map,24171,139710470713344
4259,1.32153,swptrace,memwalk,in,24171,00000000b9d1bb27
4260,1.324915,swptrace,memwalk,map,24299,139710471237632
4261,1.324927,swptrace,memwalk,in,24299,00000000b421fb1e
4262,1.328264,swptrace,memwalk,map,24427,139710471761920
4263,1.328278,swptrace,memwalk,in,24427,00000000d1098edc
4264,1.332645,swptrace,memwalk,map,24555,139710472286208
4265,1.332656,swptrace,memwalk,in,24555,0000000001c43c6b
4266,1.336041,swptrace,memwalk,map,24683,139710472810496
4267,1.336052,swptrace,memwalk,in,24683,000000009a181c45
4268,1.339382,swptrace,memwalk,map,24811,139710473334784
4269,1.339391,swptrace,memwalk,in,24811,000000002b6ae202
4270,1.343732,swptrace,memwalk,map,24939,139710473859072
4271,1.343747,swptrace,memwalk,in,24939,00000000dce54cf6
4272,1.347201,swptrace,memwalk,map,25067,139710474383360
4273,1.347213,swptrace,memwalk,in,25067,000000004ed13742
4274,1.350568,swptrace,memwalk,map,25195,139710474907648
4275,1.350579,swptrace,memwalk,in,25195,000000005481dbf4
4276,1.354908,swptrace,memwalk,map,25323,139710475431936
4277,1.354919,swptrace,memwalk,in,25323,00000000f4df3050
4278,1.358305,swptrace,memwalk,map,25451,139710475956224
4279,1.358316,swptrace,memwalk,in,25451,00000000890bb9d2
4280,1.361702,swptrace,memwalk,map,25579,139710476480512
4281,1.361713,swptrace,memwalk,in,25579,00000000240bc419
4282,1.365098,swptrace,memwalk,map,25707,139710477004800
4283,1.365109,swptrace,memwalk,in,25707,000000009011e844
4284,1.369434,swptrace,memwalk,map,25835,139710477529088
4285,1.369445,swptrace,memwalk,in,25835,000000006d6d81ae
4286,1.372833,swptrace,memwalk,map,25963,139710478053376
4287,1.372844,swptrace,memwalk,in,25963,00000000b5b2774d
4288,1.37619,swptrace,memwalk,map,26091,139710478577664
4289,1.3762,swptrace,memwalk,in,26091,0000000082cc4202
4290,1.380566,swptrace,memwalk,map,26219,139710479101952
4291,1.380577,swptrace,memwalk,in,26219,00000000ddddbab7
4292,1.38396,swptrace,memwalk,map,26347,139710479626240
4293,1.38397,swptrace,memwalk,in,26347,0000000087982b46
4294,1.387289,swptrace,memwalk,map,26475,139710480150528
4295,1.3873,swptrace,memwalk,in,26475,0000000069037b1f
4296,1.391745,swptrace,memwalk,map,26665,139710480674816
4297,1.391756,swptrace,memwalk,in,26665,000000003c68e790
4298,1.396732,swptrace,memwalk,map,26793,139710481199104
4299,1.396743,swptrace,memwalk,in,26793,000000003556467d
4300,1.400127,swptrace,memwalk,map,26921,139710481723392
4301,1.400138,swptrace,memwalk,in,26921,0000000024558841
4302,1.404463,swptrace,memwalk,map,27049,139710482247680
4303,1.404474,swptrace,memwalk,in,27049,000000007b853c43
4304,1.407861,swptrace,memwalk,map,28123,139710482771968
4305,1.407868,swptrace,memwalk,map,28251,139710483296256
4306,1.407872,swptrace,memwalk,map,28379,139710483820544
4307,1.407876,swptrace,memwalk,map,28507,139710484344832
4308,1.407879,swptrace,memwalk,map,28635,139710484869120
4309,1.407888,swptrace,memwalk,in,28635,00000000d040c865
4311,1.420645,swptrace,memwalk,in,19402,000000008f99df2f
4313,15.170579,swptrace,memwalk,in,19423,000000008bed7911
4315,15.181827,swptrace,run,in,19397,000000009211d187
4317,15.182095,swptrace,run,in,19400,0000000081b2e21d
4319,15.182281,swptrace,run,in,19395,000000005ffed528
4321,15.182477,swptrace,run,in,19382,0000000002f24380
4323,15.182623,swptrace,run,in,19396,000000004af95d39
4325,15.182761,swptrace,run,in,19399,00000000580be991
4327,15.182882,swptrace,run,in,17442,000000009ccb05ad
4329,15.183027,swptrace,run,in,17433,000000005f5da07c
4331,15.183167,swptrace,run,in,17440,00000000069f1c3a
4333,15.18333,swptrace,run,in,19398,000000000ba1df78
4335,15.183523,swptrace,run,in,19385,000000005700990b
4337,15.183715,swptrace,run,in,19388,000000001825cbf1
4339,15.183873,swptrace,run,in,19381,000000000f738e45
4341,15.184046,swptrace,run,in,19383,00000000709c87eb
4343,15.1842,swptrace,run,in,17439,00000000f86f2c85
4345,15.184348,swptrace,run,in,19394,0000000030072dc2
4347,15.184486,swptrace,run,in,19366,0000000006dfa40b
4349,15.184607,swptrace,run,in,17429,00000000b917cd56
4351,15.18472,swptrace,run,in,17432,00000000e78ceaef
4353,15.18484,swptrace,run,in,17434,000000009bd90e85
4355,15.184946,swptrace,run,in,17431,000000003c809bbd
4357,15.185058,swptrace,run,in,19371,0000000063ed9be1
4359,15.185173,swptrace,run,in,17436,000000004138c0b2
4361,15.18529,swptrace,run,in,19368,00000000402fa2d2
4363,15.185405,swptrace,run,in,17435,000000007bb8b42e
4365,15.185531,swptrace,run,in,17438,00000000794b23e4
4367,15.185644,swptrace,run,in,17437,000000005be05b54
4368,15.185763,swptrace,run,map,17437,139741926318080
4370,15.185767,swptrace,run,in,19365,00000000e39cfaaf
