,timestamp,swptrace,cmd,mode,swpentry,address
4012,0.677467,swptrace,memwalk,in,34978,000000003bc9f7a9
4014,0.683044,swptrace,memwalk,in,34981,00000000a7e074a2
4016,0.683615,swptrace,memwalk,in,34989,00000000fff392bc
4018,0.684018,swptrace,memwalk,in,34987,00000000702ccbe7
4020,0.68447,swptrace,memwalk,in,34986,000000007516cccc
4021,0.684912,swptrace,memwalk,map,34986,140567397232640
4023,0.684918,swptrace,memwalk,in,34998,00000000ff8ab55d
4025,0.685326,swptrace,memwalk,in,34996,00000000a4c212f3
4027,0.685789,swptrace,memwalk,in,34982,000000000f672a2e
4029,0.686225,swptrace,memwalk,in,34991,00000000b82fde2e
4031,0.686612,swptrace,memwalk,in,34993,000000002ae3ae30
4033,0.686997,swptrace,memwalk,in,34999,00000000c5b1b6ee
4035,0.687386,swptrace,memwalk,in,35000,00000000cf7eba80
4037,0.687773,swptrace,memwalk,map,35000,94381206134784
4039,0.687788,swptrace,memwalk,in,34995,00000000cee09657
4041,0.688226,swptrace,memwalk,in,34984,00000000c02c852e
4043,0.688672,swptrace,memwalk,in,34979,0000000023b46e53
4045,0.689093,swptrace,memwalk,in,34983,000000002fbf0dd1
4047,0.689766,swptrace,memwalk,in,34985,0000000036bc2845
4049,0.690236,swptrace,memwalk,in,34977,000000002f387406
4051,0.69071,swptrace,memwalk,in,34980,000000004eea2b89
4053,0.691164,swptrace,memwalk,in,34988,00000000a4e4718a
4055,0.691534,swptrace,memwalk,in,34992,0000000019c3b97c
4056,0.691944,swptrace,memwalk,map,35001,140566856245248
4059,0.691949,swptrace,memwalk,in,35129,0000000043e37b35
4062,0.69251,swptrace,memwalk,map,35129,140566856769536
4065,0.692535,swptrace,memwalk,in,35257,00000000b8bafefd
4066,0.693085,swptrace,memwalk,map,35257,140566857293824
4068,0.69309,swptrace,memwalk,in,35385,000000008caad0cb
4070,0.693651,swptrace,memwalk,in,1294,00000000d6e4a9f6
4072,0.957679,swptrace,memwalk,in,1422,00000000c9f6436a
4074,0.983065,swptrace,memwalk,in,1550,00000000a6fc05dd
4076,0.986464,swptrace,memwalk,in,1678,00000000fc4d48c1
4078,0.992474,swptrace,memwalk,in,1806,00000000648d0ca3
4080,1.027184,swptrace,memwalk,in,1934,00000000ba786e41
4082,1.030579,swptrace,memwalk,in,2062,00000000f677424c
4084,1.033977,swptrace,memwalk,in,2190,0000000009028825
4086,1.038313,swptrace,memwalk,in,2318,000000004cee66a0
4088,1.041709,swptrace,memwalk,in,2446,000000000be3b86b
4090,1.04513,swptrace,memwalk,in,2574,0000000058d9f3ca
4092,1.049443,swptrace,memwalk,in,2702,00000000430e9410
4094,1.052837,swptrace,memwalk,in,2830,00000000809f416f
4096,1.056238,swptrace,memwalk,in,2958,00000000495fac3d
4098,1.060574,swptrace,memwalk,in,3086,00000000bc127987
4100,1.06397,swptrace,memwalk,in,3214,00000000e6f68207
4102,1.067365,swptrace,memwalk,in,3342,00000000ff2150ac
4104,1.071701,swptrace,memwalk,in,3470,00000000555aeca1
4106,1.075099,swptrace,memwalk,in,3598,00000000984925a7
4108,1.078497,swptrace,memwalk,in,3726,000000003715e4b6
4110,1.081892,swptrace,memwalk,in,3854,000000009adad35c
4112,1.086227,swptrace,memwalk,in,3982,00000000a5449e6a
4114,1.089608,swptrace,memwalk,in,4110,00000000e138683e
4116,1.093017,swptrace,memwalk,in,4238,00000000b2c77254
4118,1.097333,swptrace,memwalk,in,4366,000000001fb7e85f
4120,1.100752,swptrace,memwalk,in,4494,00000000a9ad6506
4122,1.104153,swptrace,memwalk,in,4622,0000000017ae69c7
4124,1.10849,swptrace,memwalk,in,4750,00000000571f3e1e
4126,1.111888,swptrace,memwalk,in,4878,00000000ad1698a9
4128,1.11528,swptrace,memwalk,in,5006,00000000998b4994
4130,1.119619,swptrace,memwalk,in,5134,000000007065b2a2
4132,1.123015,swptrace,memwalk,in,5262,000000004ec752aa
4134,1.126415,swptrace,memwalk,in,5390,000000005050740f
4136,1.129807,swptrace,memwalk,in,5518,0000000078fe8319
4138,1.134143,swptrace,memwalk,in,5646,00000000a58647ef
4140,1.137499,swptrace,memwalk,in,5774,000000002c577552
4142,1.140935,swptrace,memwalk,in,5902,00000000269364a2
4144,1.145229,swptrace,memwalk,in,6030,00000000e23b2fb7
4146,1.148669,swptrace,memwalk,in,6158,00000000199a2090
4148,1.152066,swptrace,memwalk,in,6286,0000000053ff1f16
4150,1.156442,swptrace,memwalk,in,6414,00000000551c46f3
4152,1.1598,swptrace,memwalk,in,6542,000000005e929b2f
4154,1.163196,swptrace,memwalk,in,6670,0000000019a57178
4156,1.167531,swptrace,memwalk,in,6798,00000000f704640f
4158,1.170928,swptrace,memwalk,in,6926,00000000e27742c2
4160,1.174289,swptrace,memwalk,in,7054,00000000eea06be2
4162,1.178662,swptrace,memwalk,in,7182,000000000a51bffb
4164,1.182058,swptrace,memwalk,in,7310,00000000ac866d1a
4166,1.1854,swptrace,memwalk,in,7438,00000000c92090df
4168,1.188852,swptrace,memwalk,in,7566,00000000fb0a03d4
4170,1.19316,swptrace,memwalk,in,7694,000000003d633136
4172,1.196586,swptrace,memwalk,in,7822,0000000045c73dad
4174,1.199982,swptrace,memwalk,in,7950,00000000edd77a09
4176,1.20432,swptrace,memwalk,in,8078,0000000066cbd534
4178,1.207723,swptrace,memwalk,in,8206,00000000ccd64232
4180,1.211113,swptrace,memwalk,in,8334,00000000c150fc38
4182,1.215452,swptrace,memwalk,in,8462,00000000124e4815
4184,1.21885,swptrace,memwalk,in,8590,0000000017089a4f
4186,1.222196,swptrace,memwalk,in,8718,000000003e1de836
4188,1.226578,swptrace,memwalk,in,8846,00000000e8d6609d
4190,1.229982,swptrace,memwalk,in,8974,0000000029fdc810
4192,1.233258,swptrace,memwalk,in,9102,0000000026c929b4
4194,1.236652,swptrace,memwalk,in,9230,00000000f2bd615d
4196,1.241073,swptrace,memwalk,in,9358,0000000072b6850e
4198,1.244392,swptrace,memwalk,in,9486,0000000037264118
4200,1.247853,swptrace,memwalk,in,9614,00000000f7f0be97
